id;name;description;created;modified;assetcategory_id
12;Furniture and Office Supplies;Furniture refers to movable objects intended to support various human activities such as seating (e.g., chairs, stools, and sofas), eating (tables), and sleeping (e.g., beds). Furniture is also used to hold objects at a convenient height for work (as horizontal surfaces above the ground, such as tables and desks), or to store things (e.g., cupboards and shelves).Office supplies are consumables and equipment regularly used in offices by businesses and other organizations, by individuals engaged in written communications, recordkeeping or bookkeeping, janitorial and cleaning, and for storage of supplies or data. The range of items classified as office supplies varies, and typically includes small, expendable, daily use items, consumable products, small machines, higher cost equipment such as computers.;now();now();2
13;Copyright;Copyright guarantees the protection of drawn, written or photographic descriptions of an idea against unauthorized copying or adapting. Unlike patent, copyright rises automatically without fees. However, it does not protect the underlying idea. Nevertheless, copyright may be an effective way of protection for computer code. Copyright arises automatically and is free. It is important because it can easily establish dates of origin of an idea, or of changes to an idea. However, it gives no protection against someone who independently comes up with the same or a similar idea (i.e. a competitor may say that his idea is similar by coincidence, or that others idea is a copy of his).;now();now();3
14;Patent;The patent systems aim to encourage the development of new technologies. A patent offers a legal monopoly granted by government through patent offices in return for public disclosure of innovations and inventions. Observation of the patent literature show that patenting an idea will not necessarily generate additional value for the underlying invention (i.e. if no one is interested on protected invention, a patent is unlikely to make any difference. But if an invention has commercial potential, a patent may ensure a financial benefit). The cost and complexity of patenting can be a problem for many inventors. Therefore, a decision to apply for a patent should never be taken without careful consideration of several factors since patents last for 20 years (under condition of renewal fees payment).;now();now();3
15;Blueprint;Introduced in the 19th century, the blueprint process allowed rapid and accurate reproduction of documents used in construction and industry. A blueprint is a reproduction of a technical drawing (documenting an architecture or an engineering design for example) characterized by light-colored lines on a blue background using a contact print process on light-sensitive sheets.;now();now();3
16;Intellectual Property (IP) in progress;Waiting for description;now();now();3
17;Trade or business secrets;Waiting for description;now();now();4
18;Industrial process;Industrial process refers to a systematic series of electrical, mechanical, physical or chemical operations in support of items manufacturing. Industrial processes are a key component for a very large-scale production (specially for chemical and heavy industries).;now();now();4
19;On-going R&D innovation projects;Waiting for description;now();now();4
20;On-going new product and new services;Waiting for description;now();now();4
21;Business models;Waiting for description;now();now();4
22;Data on clients and partners;Waiting for description;now();now();5
23;Data on personnel;Waiting for description;now();now();5
24;Data on suppliers and exosystems;Waiting for description;now();now();5
25;Data on functions (HR, commercial, finance, fiscal, etc.);Waiting for description;now();now();5
26;Organisation Reputation with clients, stakeholders and firm''s ecoststems;Waiting for description;now();now();6
27;Reputation of managers and employees;Waiting for description;now();now();6
28;Cyber-trustworthy;Waiting for description;now();now();6
29;Brand value with customers, stakeholders adn firm or organisation''s ecosystem;Waiting for description;now();now();7
30;Brand Reputation;Waiting for description;now();now();7
31;Firm''s personnel technical and business key competences;Waiting for description;now();now();8
32;Firm''s personnel soft-skills;Waiting for description;now();now();8
33;Organisational knowledge;Waiting for description;now();now();8
34;Personnel motivation and satisfaction;Waiting for description;now();now();8
35;Personnel trust in the organisation;Waiting for description;now();now();8
36;Personnel learning capabilities;Waiting for description;now();now();8
37;Digital supported process;Waiting for description;now();now();9
38;Non-digitised functional and interfunctional processes;Waiting for description;now();now();9
39;Continuous Learning and Training Opportunities;Waiting for description;now();now();9
40;Firm or organisation''s strategic capabilities;Waiting for description;now();now();9
41;Eco-system''s processes;Waiting for description;now();now();9
42;Commercial and Stakeholders'' Network;Waiting for description;now();now();9
43;Royality; Royalty refers to the sum perceived by a patentee for the use of a patent or by an author or a composer for each copy of a book sold or for each public performance of a work.;now();now();9
44;Cooperation and Commercial Agreements;Waiting for description;now();now();9
