id;text;description;language;answer_type;jhi_order;threat_area;questionnaire_id
2201;Is the processing of personal data performed by a non-defined number of employees?;When access (and further processing) of personal data is open to a large number of employees, the possibilities of abuse due to human factor increase. Clearly defining who really needs to access the data and limiting access only to those persons can contribute to the security of personal data.;EN;MULTIPLE_CHOICE;1;PEOPLE_INVOLVED_IN_THE_PROCESSING_OF_PERSONAL_DATA;3
2202;Is any part of the data processing operation performed by a contractor/third party (data processor)?;When the processing is performed by external contractors, the organization may lose partially the control over these data. Moreover, additional security threats may be introduced due to the threats that are inherent to these contractors. It is important for the organization to select contractors that can offer a high level of security and to clearly define what part of the processing is assigned to them, maintaining as much as possible a high level of control.;EN;MULTIPLE_CHOICE;2;PEOPLE_INVOLVED_IN_THE_PROCESSING_OF_PERSONAL_DATA;3
2203;Are the obligations of the parties/persons involved in personal data processing ambiguous or not clearly stated?;When employees are not clearly informed about their obligations, threats from accidental misuse (e.g. disclosure or destruction) of data many significantly increase. ;EN;MULTIPLE_CHOICE;3;PEOPLE_INVOLVED_IN_THE_PROCESSING_OF_PERSONAL_DATA;3
2204;Is personnel involved in the processing of personal data unfamiliar with information security matters?;When employees are not aware of the need of applying security measures, they can accidentally pose further threats to the system. Training can greatly contribute to making employees aware both of their data protection obligations, as well as the application of specific security measures.;EN;MULTIPLE_CHOICE;4;PEOPLE_INVOLVED_IN_THE_PROCESSING_OF_PERSONAL_DATA;3
2205;Do persons/parties involved in the data processing operation neglect to securely store and/or destroy personal data?;Many personal data breaches occur due to the lack of physical protection measures, such as locks and secure destruction systems. Paper based files are usually part of the input or the output of an information system, can contain personal data and should also be protected from unauthorized disclosure and re-use.;EN;MULTIPLE_CHOICE;5;PEOPLE_INVOLVED_IN_THE_PROCESSING_OF_PERSONAL_DATA;3
2301;Do you consider your business sector as being prone to cyberattacks?;When security attacks have already taken place in a specific business sector, there is an indication that the organization would probably need to take additional measures to avoid a similar event.;EN;MULTIPLE_CHOICE;1;BUSINESS_SECTOR_AND_SCALE_OF_PROCESSING;3
2302;Has your organization suffered any cyberattack or other type of security breach over the last two years?;If the organization has already been attacked or there are indications that this might have been the case, additional measures need to be taken to prevent similar events in the future.;EN;MULTIPLE_CHOICE;2;BUSINESS_SECTOR_AND_SCALE_OF_PROCESSING;3
2303;Have you received any notifications and/or complaints with regard to the security of the IT system (used for the processing of personal data) over the last year?;Security bugs/vulnerabilities can be exploited to perform attacks (cyber or physical) to systems and services. Security bulletins containing important information regarding security vulnerabilities that could affect the aforementioned systems and services should be considered.;EN;MULTIPLE_CHOICE;3;BUSINESS_SECTOR_AND_SCALE_OF_PROCESSING;3
2304;Does a processing operation concern a large volume of individuals and/or personal data?;The type and volume of personal data (scale) can make the processing operation attractive to attackers (due to the inherent value of these data).;EN;MULTIPLE_CHOICE;4;BUSINESS_SECTOR_AND_SCALE_OF_PROCESSING;3
2305;Are there any security best practices specific to your business sector that have not been adequately followed?;Sector specific security measures are usually adjusted to the needs (and risks) of the particular sector. Lack of compliance with relevant best practices might be an indicator of poor security management.;EN;MULTIPLE_CHOICE;5;BUSINESS_SECTOR_AND_SCALE_OF_PROCESSING;3
